points,minimum,maximum,mae,rmse,max_absolute_error,median_ms,best_ms,ns_per_element,million_elements_per_second,checksum
9,-2,2,0.0492597481,0.0802925359,0.238405824,4.9467085,4.698583,4.9467085,202.154625,34.6311989
9,-3,3,0.0275660318,0.0435574023,0.142277479,4.9427495,4.74875,4.9427495,202.316545,34.3031502
9,-4,4,0.0175982143,0.0253761872,0.071944952,4.141625,3.717208,4.141625,241.451121,34.1200485
9,-5,5,0.0156726663,0.0250281286,0.07902354,3.2017915,2.961667,3.2017915,312.325147,34.0675354
13,-2,2,0.0484039319,0.0802218045,0.238405824,4.8745625,4.589084,4.8745625,205.146616,34.6239586
13,-3,3,0.0255764474,0.0428970815,0.142277479,4.9889375,4.805542,4.9889375,200.443481,34.2251892
13,-4,4,0.0139475743,0.0215545967,0.071944952,4.089604,3.869708,4.089604,244.522453,34.035984
13,-5,5,0.00954365982,0.0139588933,0.0393542796,3.139271,3.052125,3.139271,318.545293,33.9540558
17,-2,2,0.0481045917,0.0802098574,0.238405824,4.923646,4.619125,4.923646,203.101523,34.6091957
17,-3,3,0.0248784559,0.0427840474,0.142277479,4.891021,4.6505,4.891021,204.456288,34.2174149
17,-4,4,0.0126585113,0.0208322744,0.071944952,3.9989375,3.77875,3.9989375,250.066424,33.9914627
17,-5,5,0.00740751882,0.0109726328,0.0334644318,3.185937,3.0175,3.185937,313.879402,33.8941078
21,-2,2,0.0479660302,0.0802065885,0.238405824,4.9726875,4.68775,4.9726875,201.098501,34.6073303
21,-3,3,0.0245585322,0.0427530111,0.142277479,4.967271,4.586334,4.967271,201.317786,34.2087364
21,-4,4,0.0120534544,0.0206294135,0.071944952,4.0150835,3.728459,4.0150835,249.060823,33.9766655
21,-5,5,0.00642035245,0.00999423894,0.0334644318,3.161146,2.932541,3.161146,316.340973,33.8686218
