epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5326,0.82815,0.54899,0.88519,0.88102,0.83257,0.88807,0.63589,0.81696,0.52738,0.91259,9.94681e-05,9.94681e-05,0.000631383
2,65.5754,0.78374,0.51463,0.87186,0.90898,0.82905,0.88893,0.64076,0.8034,0.51889,0.90891,9.99112e-05,9.99112e-05,9.99112e-05
3,97.6837,0.78586,0.51374,0.87052,0.9207,0.81666,0.88741,0.64119,0.80256,0.5171,0.90782,9.96452e-05,9.96452e-05,9.96452e-05
4,130.273,0.77684,0.50821,0.8681,0.91488,0.81922,0.89357,0.64574,0.79593,0.51301,0.90622,9.92029e-05,9.92029e-05,9.92029e-05
5,162.634,0.77465,0.50526,0.86696,0.9164,0.81017,0.88829,0.64288,0.79418,0.51304,0.90502,9.85862e-05,9.85862e-05,9.85862e-05
6,194.763,0.77805,0.50698,0.86662,0.9008,0.83536,0.8941,0.64607,0.79207,0.51029,0.90378,9.77975e-05,9.77975e-05,9.77975e-05
7,227.237,0.78045,0.50938,0.86862,0.89887,0.82185,0.88922,0.64203,0.79727,0.51355,0.90541,9.68399e-05,9.68399e-05,9.68399e-05
8,259.593,0.77139,0.50218,0.86485,0.9147,0.82153,0.88852,0.64137,0.79335,0.51201,0.90391,9.57172e-05,9.57172e-05,9.57172e-05
9,291.979,0.77119,0.50423,0.86589,0.8985,0.83482,0.89419,0.64657,0.79144,0.50963,0.90459,9.44338e-05,9.44338e-05,9.44338e-05
10,324.129,0.77017,0.50063,0.8648,0.90471,0.82462,0.89277,0.65009,0.79034,0.50674,0.90418,9.29948e-05,9.29948e-05,9.29948e-05
11,356.646,0.76914,0.5013,0.86633,0.91309,0.81553,0.88697,0.64693,0.79041,0.5077,0.9035,9.14058e-05,9.14058e-05,9.14058e-05
