epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.395,1.01492,0.66164,0.96764,0.86139,0.80086,0.8712,0.60883,0.85933,0.53611,0.93162,9.98665e-05,9.98665e-05,0.000233378
2,606.233,0.92231,0.5829,0.93634,0.89596,0.79888,0.88122,0.62833,0.83438,0.51434,0.92419,9.99112e-05,9.99112e-05,9.99112e-05
3,822.867,0.89707,0.56568,0.92399,0.88557,0.81114,0.88732,0.62861,0.82505,0.51119,0.91781,9.96452e-05,9.96452e-05,9.96452e-05
4,1038.64,0.89399,0.56415,0.92163,0.87231,0.81668,0.89067,0.62973,0.81356,0.5049,0.91259,9.92029e-05,9.92029e-05,9.92029e-05
5,1253.82,0.87903,0.55992,0.91946,0.89348,0.80965,0.88926,0.63979,0.80188,0.50394,0.90992,9.85862e-05,9.85862e-05,9.85862e-05
6,1467.7,0.87381,0.55846,0.91663,0.87061,0.82125,0.88962,0.63825,0.79573,0.50368,0.90593,9.77975e-05,9.77975e-05,9.77975e-05
7,1681.25,0.87221,0.55233,0.91416,0.88241,0.82777,0.89391,0.64062,0.78999,0.49203,0.90309,9.68399e-05,9.68399e-05,9.68399e-05
8,1893.28,0.87043,0.54838,0.91435,0.86866,0.81592,0.89102,0.64275,0.78585,0.49053,0.90226,9.57172e-05,9.57172e-05,9.57172e-05
9,2999.56,0.85726,0.53835,0.90927,0.8678,0.8205,0.89008,0.64656,0.78653,0.49171,0.90245,9.44338e-05,9.44338e-05,9.44338e-05
10,4846.41,0.84853,0.53425,0.908,0.87352,0.82605,0.89017,0.64774,0.7799,0.48694,0.89907,9.29948e-05,9.29948e-05,9.29948e-05
11,5951.9,0.84975,0.5317,0.90656,0.87567,0.82424,0.89291,0.64722,0.78323,0.49257,0.90098,9.14058e-05,9.14058e-05,9.14058e-05
12,7322.33,0.84686,0.53269,0.90373,0.87572,0.8337,0.89099,0.6434,0.7809,0.48618,0.89841,8.96731e-05,8.96731e-05,8.96731e-05
13,7626.45,0.84713,0.5294,0.90387,0.88487,0.81485,0.89202,0.64798,0.7825,0.48539,0.89936,8.78036e-05,8.78036e-05,8.78036e-05
14,9597.49,0.8418,0.52796,0.90489,0.87921,0.83232,0.8962,0.64425,0.77515,0.48471,0.89795,8.58046e-05,8.58046e-05,8.58046e-05
15,9815.7,0.83597,0.52355,0.90117,0.90111,0.81359,0.89504,0.64941,0.77209,0.4776,0.89734,8.36841e-05,8.36841e-05,8.36841e-05
16,12326.6,0.84172,0.52742,0.90319,0.88004,0.81002,0.89091,0.64851,0.77199,0.48362,0.8963,8.14503e-05,8.14503e-05,8.14503e-05
17,12690.6,0.82482,0.51764,0.8985,0.87237,0.8462,0.90206,0.65298,0.76728,0.48002,0.89471,7.91122e-05,7.91122e-05,7.91122e-05
18,13280.8,0.83748,0.52186,0.90344,0.89178,0.83172,0.9007,0.65225,0.76937,0.47598,0.8952,7.66789e-05,7.66789e-05,7.66789e-05
19,13490.2,0.83157,0.52006,0.9,0.89451,0.81706,0.89242,0.65124,0.76794,0.47333,0.89469,7.41601e-05,7.41601e-05,7.41601e-05
20,13702.2,0.82821,0.5185,0.89996,0.879,0.84007,0.90105,0.65035,0.7659,0.47564,0.89504,7.15656e-05,7.15656e-05,7.15656e-05
21,13913.6,0.82599,0.51612,0.89957,0.88275,0.83908,0.90403,0.65779,0.76462,0.47632,0.89468,6.89058e-05,6.89058e-05,6.89058e-05
22,14124.2,0.83103,0.52066,0.89994,0.88631,0.8326,0.89789,0.65278,0.76438,0.47081,0.89318,6.6191e-05,6.6191e-05,6.6191e-05
23,14335,0.82558,0.51629,0.89714,0.86625,0.84265,0.89644,0.65829,0.76106,0.47138,0.89201,6.34322e-05,6.34322e-05,6.34322e-05
24,14547.2,0.82583,0.51558,0.89921,0.88846,0.83026,0.89996,0.65866,0.76287,0.47323,0.89251,6.064e-05,6.064e-05,6.064e-05
25,14759.7,0.81452,0.50987,0.89559,0.88925,0.83739,0.90193,0.66197,0.76318,0.47422,0.89275,5.78256e-05,5.78256e-05,5.78256e-05
26,14968.5,0.81816,0.51091,0.8955,0.88526,0.83171,0.89746,0.65549,0.75824,0.47155,0.89222,5.5e-05,5.5e-05,5.5e-05
27,15177,0.8167,0.5113,0.8963,0.89422,0.82365,0.89818,0.65917,0.75915,0.4687,0.89177,5.21744e-05,5.21744e-05,5.21744e-05
28,15387.3,0.81322,0.50781,0.8949,0.88863,0.85031,0.90788,0.66038,0.75404,0.46573,0.89022,4.936e-05,4.936e-05,4.936e-05
29,15597.6,0.81887,0.5096,0.89575,0.8896,0.84919,0.90364,0.65821,0.75913,0.46771,0.89121,4.65678e-05,4.65678e-05,4.65678e-05
30,15807.2,0.81271,0.50773,0.89385,0.87587,0.84682,0.90386,0.65852,0.75327,0.46424,0.89012,4.3809e-05,4.3809e-05,4.3809e-05
31,16018.2,0.8166,0.50892,0.89446,0.88112,0.83764,0.90425,0.66056,0.75319,0.4629,0.89003,4.10942e-05,4.10942e-05,4.10942e-05
32,16228.7,0.81564,0.50895,0.89499,0.90202,0.8271,0.90314,0.66162,0.75646,0.46342,0.88915,3.84344e-05,3.84344e-05,3.84344e-05
33,16438.7,0.80773,0.50387,0.8935,0.89901,0.84453,0.906,0.66416,0.75443,0.46248,0.88993,3.58399e-05,3.58399e-05,3.58399e-05
34,16647.8,0.81294,0.50511,0.89223,0.87799,0.85278,0.9046,0.66514,0.75042,0.46085,0.88876,3.33211e-05,3.33211e-05,3.33211e-05
35,18128.1,0.8073,0.50236,0.89164,0.89871,0.83594,0.90687,0.66455,0.75347,0.46265,0.88976,3.08878e-05,3.08878e-05,3.08878e-05
36,21028.6,0.80758,0.50453,0.89184,0.90216,0.83038,0.90463,0.66324,0.75272,0.46128,0.88999,2.85497e-05,2.85497e-05,2.85497e-05
37,21244.9,0.80751,0.50556,0.89391,0.89345,0.84743,0.90448,0.6627,0.75037,0.46086,0.88903,2.63159e-05,2.63159e-05,2.63159e-05
38,22246.1,0.80016,0.49796,0.89058,0.8784,0.85818,0.90819,0.6617,0.75086,0.46156,0.88918,2.41954e-05,2.41954e-05,2.41954e-05
