epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.8,0.98098,0.62517,0.96118,0.87984,0.79768,0.87152,0.60859,0.86007,0.53101,0.93194,9.98665e-05,9.98665e-05,0.000233378
2,444.143,0.87119,0.53368,0.91691,0.88417,0.79151,0.87464,0.61479,0.84242,0.52117,0.92574,9.77975e-05,9.77975e-05,9.77975e-05
3,655.937,0.85424,0.52489,0.90959,0.88544,0.80983,0.88132,0.63005,0.82938,0.51171,0.92038,9.14058e-05,9.14058e-05,9.14058e-05
4,858.907,0.84083,0.51681,0.90759,0.87382,0.81321,0.89194,0.63361,0.81701,0.50386,0.91292,8.14503e-05,8.14503e-05,8.14503e-05
5,1709.93,0.8274,0.50804,0.89951,0.90406,0.79133,0.89139,0.63906,0.80644,0.49752,0.91008,6.89058e-05,6.89058e-05,6.89058e-05
6,1982.92,0.81891,0.50389,0.89716,0.88339,0.81074,0.89107,0.64216,0.79675,0.49124,0.90684,5.5e-05,5.5e-05,5.5e-05
7,2254.28,0.81159,0.49976,0.89762,0.88442,0.81108,0.89009,0.64253,0.7953,0.488,0.90629,4.10942e-05,4.10942e-05,4.10942e-05
8,2517.84,0.80428,0.49396,0.89204,0.88627,0.80594,0.89213,0.64601,0.79249,0.48685,0.90482,2.85497e-05,2.85497e-05,2.85497e-05
9,2780.57,0.8036,0.4915,0.89118,0.87947,0.81771,0.88996,0.64704,0.78577,0.48435,0.90326,1.85942e-05,1.85942e-05,1.85942e-05
10,3035.5,0.80191,0.4904,0.89026,0.87242,0.83323,0.89506,0.65455,0.78663,0.48444,0.90338,1.22025e-05,1.22025e-05,1.22025e-05
