epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,949.874,1.03835,0.68821,0.97594,0.84396,0.80359,0.85901,0.59466,0.87592,0.54981,0.93582,9.98665e-05,9.98665e-05,0.000233378
2,1227.83,0.9447,0.60936,0.94238,0.86457,0.80504,0.87578,0.61736,0.85056,0.53522,0.92771,9.99112e-05,9.99112e-05,9.99112e-05
3,1492.42,0.92047,0.59255,0.93052,0.86485,0.81934,0.88375,0.62388,0.83758,0.52735,0.92174,9.96452e-05,9.96452e-05,9.96452e-05
4,1755.36,0.91678,0.58961,0.92748,0.88063,0.79917,0.88196,0.62217,0.83212,0.52375,0.91674,9.92029e-05,9.92029e-05,9.92029e-05
5,2014.7,0.90214,0.5858,0.92554,0.87682,0.81805,0.88626,0.63184,0.8235,0.52406,0.9153,9.85862e-05,9.85862e-05,9.85862e-05
6,2274.2,0.89628,0.58358,0.92323,0.86344,0.81375,0.88042,0.62554,0.81743,0.52358,0.91217,9.77975e-05,9.77975e-05,9.77975e-05
7,2534.71,0.89603,0.57783,0.92084,0.86775,0.82155,0.88293,0.6236,0.8093,0.51134,0.90982,9.68399e-05,9.68399e-05,9.68399e-05
8,2794.32,0.89119,0.57229,0.9199,0.86197,0.81796,0.88496,0.63863,0.80761,0.50861,0.9083,9.57172e-05,9.57172e-05,9.57172e-05
9,3054.79,0.88021,0.56291,0.91554,0.85942,0.82948,0.88836,0.6335,0.80392,0.51341,0.90839,9.44338e-05,9.44338e-05,9.44338e-05
10,3314.66,0.87136,0.55889,0.91368,0.87402,0.81446,0.89087,0.64161,0.79646,0.50552,0.90402,9.29948e-05,9.29948e-05,9.29948e-05
11,3591.11,0.87216,0.55623,0.91239,0.89015,0.82106,0.89165,0.63547,0.80028,0.50933,0.90579,9.14058e-05,9.14058e-05,9.14058e-05
12,4504.15,0.87091,0.55747,0.90968,0.86191,0.84161,0.88702,0.63089,0.7968,0.50283,0.9044,8.96731e-05,8.96731e-05,8.96731e-05
13,4767.02,0.87041,0.55451,0.91001,0.87947,0.82998,0.88994,0.63351,0.79866,0.50432,0.9039,8.78036e-05,8.78036e-05,8.78036e-05
14,5025.37,0.86626,0.55338,0.91108,0.88634,0.81806,0.89137,0.63016,0.79048,0.5023,0.90237,8.58046e-05,8.58046e-05,8.58046e-05
15,5283.07,0.85816,0.54762,0.90713,0.87751,0.82919,0.89054,0.63561,0.78903,0.49435,0.90264,8.36841e-05,8.36841e-05,8.36841e-05
16,5541.7,0.8631,0.55089,0.90851,0.87925,0.83265,0.89555,0.63747,0.78665,0.4997,0.90023,8.14503e-05,8.14503e-05,8.14503e-05
17,5799.81,0.8473,0.5422,0.90422,0.87095,0.83981,0.89762,0.64402,0.78678,0.49977,0.90011,7.91122e-05,7.91122e-05,7.91122e-05
18,6058.47,0.86143,0.54627,0.90925,0.89376,0.81593,0.89589,0.63904,0.78745,0.49399,0.90198,7.66789e-05,7.66789e-05,7.66789e-05
19,6317.75,0.85426,0.54489,0.90553,0.87618,0.8347,0.89445,0.64552,0.78583,0.49283,0.89988,7.41601e-05,7.41601e-05,7.41601e-05
20,6578.16,0.85119,0.54114,0.90594,0.88366,0.82322,0.89058,0.63269,0.78595,0.49299,0.90046,7.15656e-05,7.15656e-05,7.15656e-05
21,6831.6,0.84901,0.541,0.90599,0.87747,0.83167,0.89649,0.64576,0.7849,0.49458,0.89994,6.89058e-05,6.89058e-05,6.89058e-05
22,7083.81,0.85532,0.54548,0.90634,0.89769,0.82377,0.89641,0.63743,0.78203,0.49032,0.89862,6.6191e-05,6.6191e-05,6.6191e-05
23,7335.61,0.84994,0.54109,0.90391,0.88983,0.82578,0.8959,0.64442,0.78037,0.48866,0.89774,6.34322e-05,6.34322e-05,6.34322e-05
24,7588.46,0.84971,0.53974,0.90542,0.89178,0.82164,0.89083,0.64617,0.78281,0.49318,0.89798,6.064e-05,6.064e-05,6.064e-05
25,7840.57,0.83849,0.53429,0.90126,0.88136,0.84151,0.89776,0.64651,0.78071,0.4916,0.89769,5.78256e-05,5.78256e-05,5.78256e-05
26,8092.06,0.84186,0.53491,0.90163,0.86775,0.83332,0.89593,0.64215,0.7784,0.48977,0.89741,5.5e-05,5.5e-05,5.5e-05
27,8343.81,0.83988,0.53508,0.90214,0.88358,0.82391,0.89248,0.64423,0.77701,0.48626,0.89697,5.21744e-05,5.21744e-05,5.21744e-05
28,8597.21,0.83735,0.53311,0.90116,0.89011,0.84184,0.90153,0.65051,0.77219,0.48423,0.89565,4.936e-05,4.936e-05,4.936e-05
29,8849.74,0.84285,0.53477,0.90154,0.88011,0.8492,0.90182,0.64541,0.77979,0.48335,0.89797,4.65678e-05,4.65678e-05,4.65678e-05
30,9101.6,0.83778,0.53306,0.89991,0.90199,0.81427,0.8996,0.6455,0.77165,0.48326,0.89529,4.3809e-05,4.3809e-05,4.3809e-05
31,9353.37,0.84044,0.53368,0.90051,0.87277,0.84119,0.89717,0.64738,0.77362,0.48376,0.89572,4.10942e-05,4.10942e-05,4.10942e-05
32,9604.24,0.83873,0.5337,0.9007,0.8876,0.83641,0.89802,0.65129,0.77267,0.48213,0.89513,3.84344e-05,3.84344e-05,3.84344e-05
33,9855.86,0.83102,0.52945,0.89927,0.8742,0.85197,0.89849,0.64961,0.7697,0.48215,0.8949,3.58399e-05,3.58399e-05,3.58399e-05
34,10107.7,0.83759,0.53035,0.89818,0.86978,0.84789,0.90131,0.65209,0.7661,0.47958,0.89307,3.33211e-05,3.33211e-05,3.33211e-05
35,10358.7,0.83124,0.52645,0.89773,0.8903,0.83985,0.902,0.652,0.76819,0.47878,0.8936,3.08878e-05,3.08878e-05,3.08878e-05
36,10609.3,0.83166,0.52994,0.89774,0.89393,0.83008,0.89799,0.6486,0.77262,0.48031,0.89497,2.85497e-05,2.85497e-05,2.85497e-05
37,10861.1,0.83237,0.53146,0.90028,0.89777,0.83491,0.904,0.65431,0.771,0.47987,0.89509,2.63159e-05,2.63159e-05,2.63159e-05
38,11113.6,0.82525,0.5235,0.8971,0.88859,0.83488,0.90188,0.64803,0.7675,0.47877,0.89356,2.41954e-05,2.41954e-05,2.41954e-05
39,11365.5,0.82911,0.5286,0.89551,0.90281,0.8329,0.90231,0.65168,0.77039,0.47894,0.89494,2.21964e-05,2.21964e-05,2.21964e-05
40,11617,0.83144,0.52937,0.89755,0.90738,0.83578,0.90332,0.65424,0.7665,0.47872,0.89319,2.03269e-05,2.03269e-05,2.03269e-05
41,11864.5,0.82068,0.50896,0.89132,0.88777,0.82922,0.88556,0.62807,0.80887,0.49992,0.90451,1.85942e-05,1.85942e-05,1.85942e-05
42,12105.7,0.79701,0.49593,0.88494,0.87607,0.82735,0.89111,0.63248,0.79588,0.492,0.90114,1.70052e-05,1.70052e-05,1.70052e-05
43,12345.3,0.79236,0.49307,0.88327,0.88239,0.82761,0.88949,0.63909,0.79098,0.4902,0.89898,1.55662e-05,1.55662e-05,1.55662e-05
44,12583.9,0.79147,0.49096,0.88229,0.89617,0.83318,0.89557,0.64066,0.78671,0.48812,0.89833,1.42828e-05,1.42828e-05,1.42828e-05
45,12822.9,0.79156,0.49138,0.88334,0.88526,0.83625,0.89263,0.64241,0.787,0.48754,0.89708,1.31601e-05,1.31601e-05,1.31601e-05
46,13050.8,0.78355,0.48768,0.88214,0.88058,0.85038,0.90101,0.65518,0.78706,0.48842,0.89669,1.22025e-05,1.22025e-05,1.22025e-05
47,13278.9,0.78046,0.48678,0.87935,0.89477,0.84227,0.89709,0.65217,0.78814,0.49077,0.89775,1.14138e-05,1.14138e-05,1.14138e-05
48,13506.7,0.78379,0.48529,0.88303,0.89259,0.835,0.89627,0.65029,0.78565,0.48834,0.89652,1.07971e-05,1.07971e-05,1.07971e-05
49,13734.1,0.77991,0.48519,0.87983,0.88763,0.85296,0.89826,0.65029,0.78304,0.48831,0.89621,1.03548e-05,1.03548e-05,1.03548e-05
50,13959.5,0.77889,0.48483,0.88027,0.89835,0.83657,0.89809,0.65444,0.78171,0.48833,0.89612,1.00888e-05,1.00888e-05,1.00888e-05
