epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.796,0.85375,0.8749,1.16691,0.8103,0.75061,0.81603,0.60707,0.94226,0.82118,1.2058,9.98069e-05,9.98069e-05,0.000292857
2,246.362,0.81511,0.80146,1.14147,0.80778,0.75953,0.81965,0.60707,0.94382,0.81579,1.20292,9.99112e-05,9.99112e-05,9.99112e-05
3,337.74,0.80911,0.79725,1.13941,0.80858,0.75526,0.81832,0.60577,0.94706,0.8138,1.20564,9.96452e-05,9.96452e-05,9.96452e-05
4,429.412,0.81469,0.802,1.143,0.81152,0.74672,0.81858,0.60723,0.94484,0.81939,1.20095,9.92029e-05,9.92029e-05,9.92029e-05
5,521.658,0.8062,0.79018,1.13924,0.82866,0.74324,0.82129,0.60661,0.94299,0.81126,1.20389,9.85862e-05,9.85862e-05,9.85862e-05
6,614.132,0.80262,0.78371,1.13472,0.81395,0.75016,0.81737,0.60457,0.94866,0.81465,1.2103,9.77975e-05,9.77975e-05,9.77975e-05
7,705.982,0.80459,0.78779,1.13586,0.81143,0.74088,0.81278,0.60308,0.94698,0.81716,1.21128,9.68399e-05,9.68399e-05,9.68399e-05
8,798.106,0.79916,0.77763,1.13588,0.80619,0.74493,0.81345,0.60147,0.95229,0.81936,1.20932,9.57172e-05,9.57172e-05,9.57172e-05
9,890.052,0.80305,0.77904,1.135,0.81585,0.73801,0.8132,0.60159,0.95122,0.82064,1.213,9.44338e-05,9.44338e-05,9.44338e-05
10,981.899,0.80105,0.78076,1.13365,0.81155,0.74614,0.81472,0.60462,0.94492,0.8047,1.20784,9.29948e-05,9.29948e-05,9.29948e-05
11,1072.29,0.79615,0.77771,1.13228,0.81065,0.74659,0.81317,0.60182,0.95115,0.81693,1.21116,9.14058e-05,9.14058e-05,9.14058e-05
12,1164.49,0.79967,0.77451,1.133,0.80807,0.75236,0.81517,0.60489,0.95016,0.81524,1.21318,8.96731e-05,8.96731e-05,8.96731e-05
13,1256.94,0.79896,0.77162,1.13231,0.81027,0.74622,0.8133,0.60368,0.9519,0.81951,1.21396,8.78036e-05,8.78036e-05,8.78036e-05
14,1349.75,0.79707,0.77355,1.13222,0.80136,0.75061,0.81461,0.60424,0.94801,0.81337,1.20897,8.58046e-05,8.58046e-05,8.58046e-05
15,1442.21,0.79414,0.76828,1.13127,0.82444,0.73512,0.81768,0.60508,0.95047,0.80941,1.21423,8.36841e-05,8.36841e-05,8.36841e-05
16,1534.44,0.79603,0.77129,1.13221,0.8115,0.74199,0.81199,0.60139,0.95055,0.81195,1.21367,8.14503e-05,8.14503e-05,8.14503e-05
17,1626.54,0.79585,0.76686,1.13082,0.81225,0.74625,0.81492,0.60383,0.94895,0.80984,1.21048,7.91122e-05,7.91122e-05,7.91122e-05
18,1718.29,0.79099,0.76417,1.12717,0.80353,0.74859,0.81333,0.60273,0.94935,0.81089,1.21291,7.66789e-05,7.66789e-05,7.66789e-05
19,1810.48,0.78964,0.76137,1.12726,0.82095,0.74546,0.81539,0.60391,0.94967,0.80886,1.21598,7.41601e-05,7.41601e-05,7.41601e-05
20,1902.88,0.78959,0.76022,1.12665,0.81326,0.75486,0.81676,0.60362,0.94827,0.80917,1.21083,7.15656e-05,7.15656e-05,7.15656e-05
21,1995.44,0.78802,0.75724,1.12354,0.81505,0.7516,0.81748,0.6059,0.95183,0.80588,1.21417,6.89058e-05,6.89058e-05,6.89058e-05
22,2087.76,0.78299,0.75139,1.12269,0.82048,0.73601,0.81658,0.60505,0.95254,0.80582,1.21528,6.6191e-05,6.6191e-05,6.6191e-05
23,2180.29,0.78482,0.7556,1.12541,0.80757,0.74728,0.81593,0.60445,0.95073,0.80125,1.21194,6.34322e-05,6.34322e-05,6.34322e-05
24,2273.4,0.78456,0.75354,1.1243,0.81542,0.74183,0.81329,0.60425,0.94836,0.80432,1.21232,6.064e-05,6.064e-05,6.064e-05
25,2366.12,0.78403,0.75237,1.12261,0.81061,0.75078,0.81559,0.60456,0.94958,0.8059,1.21095,5.78256e-05,5.78256e-05,5.78256e-05
26,2457.85,0.78523,0.75664,1.12578,0.8203,0.7452,0.81669,0.60537,0.94881,0.80338,1.21224,5.5e-05,5.5e-05,5.5e-05
