epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,933.957,0.94128,1.10071,1.23685,0.80662,0.72733,0.80646,0.59228,0.93784,0.85373,1.19256,9.99517e-05,9.99517e-05,0.000148284
2,1829.66,0.87795,0.96978,1.19409,0.81025,0.73776,0.81037,0.59447,0.93447,0.84303,1.19745,9.99112e-05,9.99112e-05,9.99112e-05
3,2698.64,0.8732,0.95845,1.19044,0.79198,0.76089,0.81481,0.59884,0.9275,0.84296,1.1879,9.96452e-05,9.96452e-05,9.96452e-05
4,3561.12,0.87223,0.94719,1.18889,0.7847,0.76308,0.81361,0.59678,0.93272,0.84073,1.19754,9.92029e-05,9.92029e-05,9.92029e-05
5,4420.17,0.8682,0.93329,1.18526,0.79628,0.75994,0.81763,0.60154,0.92675,0.83019,1.19344,9.85862e-05,9.85862e-05,9.85862e-05
6,5281.95,0.86581,0.93679,1.1844,0.79383,0.76106,0.81459,0.59812,0.93185,0.84147,1.19317,9.77975e-05,9.77975e-05,9.77975e-05
7,6144.89,0.86679,0.93805,1.18515,0.7995,0.75647,0.81567,0.60128,0.92359,0.82885,1.19025,9.68399e-05,9.68399e-05,9.68399e-05
8,7008.61,0.86566,0.92925,1.18085,0.79526,0.75963,0.81377,0.59958,0.92803,0.83536,1.1932,9.57172e-05,9.57172e-05,9.57172e-05
9,7869.14,0.86494,0.92807,1.18437,0.78994,0.76523,0.81688,0.60084,0.92724,0.82556,1.18962,9.44338e-05,9.44338e-05,9.44338e-05
10,8733.39,0.86461,0.92979,1.18515,0.79914,0.74764,0.81528,0.60137,0.92446,0.82475,1.18833,9.29948e-05,9.29948e-05,9.29948e-05
11,9597.89,0.85911,0.92377,1.18223,0.79198,0.75821,0.81561,0.59933,0.92723,0.83108,1.19092,9.14058e-05,9.14058e-05,9.14058e-05
12,10459,0.8623,0.92044,1.1822,0.81268,0.74245,0.81958,0.60126,0.92655,0.83329,1.18772,8.96731e-05,8.96731e-05,8.96731e-05
13,11319.7,0.85725,0.92026,1.18091,0.81586,0.73813,0.81772,0.60187,0.92534,0.8339,1.18746,8.78036e-05,8.78036e-05,8.78036e-05
14,12182.2,0.86025,0.91428,1.18143,0.79135,0.76297,0.81725,0.60186,0.92622,0.82563,1.1904,8.58046e-05,8.58046e-05,8.58046e-05
15,13044.4,0.85532,0.91035,1.17775,0.7899,0.76853,0.81807,0.59993,0.92602,0.82343,1.19092,8.36841e-05,8.36841e-05,8.36841e-05
16,13904.5,0.85683,0.91236,1.17761,0.81776,0.7444,0.81677,0.6012,0.92595,0.82731,1.19027,8.14503e-05,8.14503e-05,8.14503e-05
17,14763.5,0.8542,0.90887,1.17668,0.7961,0.76324,0.81866,0.60353,0.92297,0.81575,1.1888,7.91122e-05,7.91122e-05,7.91122e-05
18,15622.9,0.85956,0.91545,1.18135,0.82245,0.74659,0.81964,0.60384,0.92483,0.82013,1.1915,7.66789e-05,7.66789e-05,7.66789e-05
19,16483.9,0.86097,0.90698,1.18003,0.825,0.73812,0.82001,0.60444,0.92407,0.81763,1.18877,7.41601e-05,7.41601e-05,7.41601e-05
20,17345.2,0.85559,0.90066,1.17902,0.81884,0.74199,0.82018,0.60438,0.9253,0.82017,1.18813,7.15656e-05,7.15656e-05,7.15656e-05
21,18203.7,0.85487,0.90481,1.17665,0.7937,0.76334,0.82007,0.60458,0.92469,0.82117,1.18859,6.89058e-05,6.89058e-05,6.89058e-05
22,19065,0.85237,0.89402,1.17234,0.8251,0.73608,0.8183,0.60268,0.92677,0.81797,1.19257,6.6191e-05,6.6191e-05,6.6191e-05
23,19925.7,0.85787,0.89993,1.1762,0.82098,0.73823,0.81976,0.60459,0.92309,0.81335,1.18627,6.34322e-05,6.34322e-05,6.34322e-05
24,20791.3,0.85273,0.89662,1.1737,0.82768,0.73832,0.82047,0.60514,0.92062,0.8173,1.18634,6.064e-05,6.064e-05,6.064e-05
25,21662,0.84999,0.89449,1.17354,0.82636,0.74198,0.82263,0.60625,0.92311,0.81389,1.18817,5.78256e-05,5.78256e-05,5.78256e-05
26,22540.2,0.85113,0.89606,1.17166,0.82348,0.74162,0.822,0.60495,0.92413,0.81626,1.18857,5.5e-05,5.5e-05,5.5e-05
27,23397.4,0.85288,0.89894,1.17647,0.81839,0.74072,0.82,0.60557,0.92257,0.81621,1.1889,5.21744e-05,5.21744e-05,5.21744e-05
28,24256.7,0.84942,0.88863,1.17252,0.79704,0.76642,0.82234,0.6066,0.92408,0.81144,1.19019,4.936e-05,4.936e-05,4.936e-05
29,25117.5,0.84772,0.8913,1.17166,0.82408,0.73899,0.82044,0.60386,0.92391,0.817,1.18899,4.65678e-05,4.65678e-05,4.65678e-05
30,25977.7,0.84487,0.89097,1.17024,0.79687,0.75996,0.81884,0.60248,0.92518,0.81364,1.19123,4.3809e-05,4.3809e-05,4.3809e-05
31,26839.2,0.84697,0.89093,1.16997,0.82639,0.73863,0.82152,0.60512,0.92256,0.81404,1.18887,4.10942e-05,4.10942e-05,4.10942e-05
32,27695.8,0.84878,0.88899,1.17163,0.83047,0.74062,0.82098,0.60445,0.92316,0.81039,1.1881,3.84344e-05,3.84344e-05,3.84344e-05
33,28558.7,0.84852,0.88803,1.16951,0.82353,0.7426,0.82103,0.60467,0.92258,0.81478,1.18779,3.58399e-05,3.58399e-05,3.58399e-05
34,29422.8,0.84814,0.88464,1.17028,0.8249,0.73958,0.82138,0.60491,0.92232,0.8144,1.18643,3.33211e-05,3.33211e-05,3.33211e-05
35,30300.2,0.84857,0.8871,1.1704,0.80112,0.76478,0.82319,0.60672,0.92162,0.80844,1.18681,3.08878e-05,3.08878e-05,3.08878e-05
36,31174.2,0.84491,0.88351,1.17093,0.82812,0.74219,0.8211,0.6061,0.92343,0.81003,1.18841,2.85497e-05,2.85497e-05,2.85497e-05
37,32042.8,0.84446,0.888,1.16941,0.79694,0.76662,0.82106,0.60558,0.92215,0.81057,1.188,2.63159e-05,2.63159e-05,2.63159e-05
38,32923.7,0.84417,0.87728,1.16642,0.79777,0.76409,0.82192,0.60569,0.92087,0.81001,1.18724,2.41954e-05,2.41954e-05,2.41954e-05
39,33797.2,0.84242,0.87634,1.16574,0.82746,0.73889,0.8221,0.60502,0.9204,0.81059,1.18724,2.21964e-05,2.21964e-05,2.21964e-05
40,34675.8,0.84318,0.88009,1.16631,0.82296,0.74339,0.82193,0.60639,0.92104,0.80787,1.18809,2.03269e-05,2.03269e-05,2.03269e-05
41,35514.5,0.79108,0.74399,1.1447,0.82526,0.72744,0.81249,0.59482,0.93204,0.81788,1.19914,1.85942e-05,1.85942e-05,1.85942e-05
42,36340.8,0.77564,0.70983,1.13222,0.79346,0.74805,0.81138,0.59428,0.93593,0.81893,1.2021,1.70052e-05,1.70052e-05,1.70052e-05
43,37174.6,0.77088,0.70119,1.12634,0.79764,0.74439,0.81028,0.59428,0.93423,0.8181,1.20203,1.55662e-05,1.55662e-05,1.55662e-05
44,38001.5,0.76627,0.70069,1.12522,0.79881,0.74843,0.81244,0.59613,0.93312,0.81594,1.20097,1.42828e-05,1.42828e-05,1.42828e-05
45,38826.3,0.7626,0.69093,1.11972,0.79504,0.74955,0.81372,0.59773,0.93219,0.81632,1.20109,1.31601e-05,1.31601e-05,1.31601e-05
46,39621.3,0.76094,0.68895,1.1203,0.79299,0.76065,0.81802,0.60493,0.93106,0.81508,1.19607,1.22025e-05,1.22025e-05,1.22025e-05
47,40867.5,0.75755,0.68023,1.1181,0.79381,0.76253,0.81796,0.60481,0.93083,0.81677,1.19702,1.14138e-05,1.14138e-05,1.14138e-05
48,41670.1,0.7575,0.67883,1.11867,0.818,0.7364,0.81674,0.60274,0.93382,0.81963,1.19994,1.07971e-05,1.07971e-05,1.07971e-05
49,42471,0.75959,0.68174,1.11877,0.82013,0.73792,0.81642,0.60291,0.93201,0.81809,1.19852,1.03548e-05,1.03548e-05,1.03548e-05
50,43272.6,0.75534,0.68059,1.11616,0.82339,0.73857,0.81676,0.60378,0.92995,0.8151,1.19697,1.00888e-05,1.00888e-05,1.00888e-05
